,text,likes,timestamp,Language,sentiment,overall_sentiment
0,narendra modi symbol lie india ask question economy employment price rise woman safety dalit adani manipur modi open mouth lie cheat open modi,214,08-08-2023,en,-0.0516,negative
1,video clarifie minority live bjp rule india situation grim take shape civil war openly listen carefully muslim live,7,08-09-2023,en,-0.7964,negative
2,minor worried father dehraduni singer files complaint prashant bhushan spread fake news amid manipur unrest talk opindia opindiacom 202308fatherd,2429,08-08-2023,en,-0.7579,negative
3,valleybase group militant wage war india past year major amit bansal geopolitic geostrategic expert real terrorist group manipur antinational group video mention,262,08-08-2023,en,-0.8625,negative
4,watch press conference elaborate extensively cong betray north east particularly reference current situation manipur,792,08-08-2023,en,-0.6369,negative
5,double engine policy fail miserably manipur burn state rule party presidential rule,0,08-09-2023,en,-0.5994,negative
6,distribution land property early own meitei timely intervention assam rifle happen manipur kashmir manipuri hindus kashmiri pandit,5012,07-02-2023,en,0.0,neutral
7,manipur cm evade question demand step run away camera question ruckus parliament viral video show woman parade nude,104,24-07-2023,es,-0.128,negative
8,meitei civilian openly brandish assault rifle presence medium highlighting concern situation manipur gun wield man roam valley thousand conscript arambai daily basis recipe disaster,451,08-08-2023,en,-0.8834,negative
9,reveal truth operate manipur qs continue long wrong succinctly explain effort state govt retrieve weapon ammo fact looting allow,598,08-08-2023,en,-0.2732,negative
10,india pm modi silent manipur,72,08-08-2023,it,0.0,neutral
11,talk manipur whatboutery,0,08-09-2023,en,0.0,neutral
13,burn anglokuki cemetry gate burn tyre trigger pointu youngpls develop senseget milkprotein learn early morning develop braincell yai thuk laobro,0,08-09-2023,en,0.0,neutral
14,confidence motion debate manipur awareness level average journalist,2352,08-08-2023,fr,0.5106,positive
15,feel partition india divide deep wl hangshe kuki people alliance leave nda sense dejection travel delhi connaught place demographic divide full show pipedvideowatchvreqjsnji,367,08-08-2023,en,-0.0516,negative
16,video poppy plantation assam riffle camp oroan top sajik tampak manipur location googlmapsdz 97uirb9aqsgqh4,97,08-08-2023,en,0.2023,neutral
17,violence persist manipur individual predominantly meiteis remain unaccounted aug include meitei journalist chinkuki leader accuse mutilate clandestinely bury meitei victim undisclosed pit hide atrocity,85,08-06-2023,en,-0.8271,negative
